GP,MPG,ORPM,DRPM,RPM,WINS
74,37.8,6.49,1.93,8.42,20.43
79,33.4,7.27,0.14,7.41,18.8
76,37,4.82,1.8,6.62,17.35
81,34.6,6.74,-0.47,6.27,17.34
76,32.5,1.55,5.59,7.14,16.84
81,33.9,0.35,6.02,6.37,15.55
81,36.4,6.38,-1.57,4.81,15.54
74,33.4,5.83,1.25,7.08,15.53
61,31.5,5.16,2.76,7.92,13.48
73,27.9,4.44,2.29,6.73,13.18
80,35.6,2.35,1.86,4.21,13
75,36.1,0.45,3.9,4.35,12.81
60,37.4,4.7,1.18,5.88,12.67
81,31.7,1.11,3.44,4.55,12.59
62,33.4,4.41,1.33,5.74,12.24
69,34,1.23,3.35,4.58,11.51
72,34.2,3.56,0.64,4.2,11.26
80,32.6,3.12,0.44,3.56,11.21
75,35.9,4.63,-1.49,3.14,10.72
72,32.4,2.2,1.69,3.89,10.52
69,33.2,4.67,-0.2,4.47,10.5
82,37,3.54,-1.41,2.13,10
79,34.7,3.93,-1.25,2.68,9.95
78,36.4,3.52,-1.26,2.26,9.9
60,31.4,2.77,2.26,5.03,9.76
82,32.4,-0.8,3.52,2.72,9.73
75,35.9,2.67,-0.09,2.58,9.72
78,34,2.78,-0.45,2.33,9.53
73,34.5,3.14,-0.08,3.06,9.45
81,31.4,0.09,2.57,2.66,9.31
80,34.7,0.86,1.07,1.93,9.29
77,34.9,3.29,-1.04,2.25,9.26
67,31.6,-0.77,4.32,3.55,9.23
61,34,3.02,0.76,3.78,9.2
76,26.3,2.01,1.52,3.53,8.72
75,32.9,1.73,0.76,2.49,8.72
74,34.2,1.86,0.72,2.58,8.69
63,33.9,2.67,0.21,2.88,8.39
72,35.1,4.35,-2.3,2.05,8.28
